input,output,choices,dataset_name,id
"A friend asked me to answer this question: On what album did Pavement use radio static as the third instrument?, using the article: The music on Slay Tracks was written entirely by Malkmus, and he stated his influences on the record included Chrome, Swell Maps, and The Fall. The songs on the EP drew comparisons to the likes of R.E.M., Pixies, and Sonic Youth by Stephen Thomas Erlewine and Heather Phares of AllMusic. Radio static and noise are prominently used on the EP, techniques which are characteristic of the lo-fi and noise pop genres that Pavement are frequently associated with. According to Malkmus, ""We decided to use static as the third instrument. .... It was pretty exciting to be so experimental."" Young played drums on ""Box Elder"" and ""Price Yeah!"", and frequently improvised. Malkmus played drums on ""Maybe Maybe"", while both Malkmus and Kannberg drummed on ""She Believes"".""You're Killing Me"", the longest song on the EP at three minutes and 20 seconds, is an example of the impact punk rock had on Pavement. The song features fuzz effects, repetitive lyrics, and no percussion or drums. ""Box Elder"", an ironic song about someone wanting to move to Box Elder, Montana, was considered by Gerard Cosloy to be an example of Malkmus's ""honest, direct, and simplistic"" lyrical style, and features greater influence from pop music than the rest of the EP. ""Maybe Maybe"" features distorted guitars and indiscernible vocals, and ""Price Yeah!"" has a sound typical of hardcore punk. The band's hometown of Stockton inspired the band's lyrics and sound. Malkmus stated that ""There's something empty about Stockton. I wanted to convey that in our music."" Malkmus told Melody Maker in 1992 that ""Pavement was originally a pathetic effort by us to do something to escape the terminal boredom we were experiencing in Stockton."", what would be the answer ?",Slay Tracks,,quoref,18933.0
"Summarize: The area, covering 46,000 sq km (17,800 sq miles), straddles the northern states of Amapa and Para, and is thought to be rich in gold, and other minerals.
The government said nine conservation and indigenous land areas within it would continue to be legally protected.
But activists have voiced concern that these areas could be badly compromised.
A decree from President Michel Temer abolished a protected area known as the National Reserve of Copper and Associates (Renca).
Its size is larger than Denmark and about 30% of it will be open to mining.
The mining and energy ministry says protected forest areas and indigenous reserves will not be affected.
""The objective of the measure is to attract new investments, generating wealth for the country and employment and income for society, always based on the precepts of sustainability,"" the ministry said in a statement.
But opposition Senator Randolfe Rodrigues denounced the move as ""the biggest attack on the Amazon of the last 50 years"", O Globo newspaper reported (in Portuguese).
Maurício Voivodic, head of the conservation body WWF in Brazil, warned last month that mining in the area would lead to ""demographic explosion, deforestation, the destruction of water resources, the loss of biodiversity and the creation of land conflict"".
Amazon culture clash
Loss of Indigenous lands threatens climate
Indigenous leaders fight for survival
According to the WWF report, the main area of interest for copper and gold exploration is in one of the protected areas, the Biological Reserve of Maicuru.
There is also said to be gold in the Para State forest, which lies within the area.
The WWF says there is potential for conflict too in two indigenous reserves that are home to various  ethnic communities living in relative isolation.
WWF's report said than a ""gold rush in the region could create irreversible damage to these cultures"".
""If the government insisted on opening up these areas for mining without discussing environmental safeguards it will have to deal with an international...",Brazil's government has abolished a vast national reserve in the Amazon to open up the area to mining.,,xsum,44935.0
"Slobodan Milošević, as the former President of Serbia and of Yugoslavia, was the most senior political figure to stand trial at the ICTY. He died on 11 March 2006 during his trial where he was accused of genocide or complicity in genocide in territories within Bosnia and Herzegovina, so no verdict was returned. In 1995, the ICTY issued a warrant for the arrest of Bosnian Serbs Radovan Karadžić and Ratko Mladić on several charges including genocide. On 21 July 2008, Karadžić was arrested in Belgrade, and he is currently in The Hague on trial accused of genocide among other crimes. Ratko Mladić was arrested on 26 May 2011 by Serbian special police in Lazarevo, Serbia. Karadzic was convicted of ten of the eleven charges laid against him and sentenced to 40 years in prison on March 24 2016.

With reference to the above context, Where was Karadzic when he was finally arrested?",Belgrade,,squad,1291.0
"an inherited characteristic found on all mammals is

Choose an answer from this list:
- nails
- teeth
- shoes
- fur",fur,nails|||teeth|||shoes|||fur,openbookqa,6.0
"Question: ""What  was the condition of Douay's enemy？""

Context: ""The first action of the Franco-Prussian War took place on 4 August 1870. This battle saw the unsupported division of General Douay of I Corps, with some attached cavalry, which was posted to watch the border, attacked in overwhelming but uncoordinated fashion by the German 3rd Army. During the day, elements of a Bavarian and two Prussian corps became engaged and were aided by Prussian artillery, which blasted holes in the defenses of the town. Douay held a very strong position initially, thanks to the accurate long-range fire of the Chassepots but his force was too thinly stretched to hold it. Douay was killed in the late morning when a caisson of the divisional mitrailleuse battery exploded near him; the encirclement of the town by the Prussians threatened the French avenue of retreat.""

Answer:",attacked in overwhelming but uncoordinated fashion,,adversarial_qa,3759.0
"I want to know whether the following two sentences mean the same thing.
Smith said simply "" Oh , my God , "" in the seconds afterward , according to Weinshall .
In the seconds after the crash , she added , Captain Smith said simply , "" Oh my God . ""
Do they?",yes,no|||yes,mrpc,3166.0
"Is this product review positive?
Title: ...sorry...
Review: After reading Ender's Game...well, to put it lightly, lets just say I got cabin fever.I admit--I have NOT finished the book yet (a side effect of cabin fever), and I WAS intrigued at first. 200 pages in...and nothing remotely exciting was happening. I argue with myself, wondering if I should finish it or not. Will something utterly fascinating grab my attention just 20 pages on? Or will the rest of the l o n g book be a total drab?Dune certainly has a good plot idea, I'm just not sure that Frank Herbert has the gift of grabbing a reader's attention.Please R&R!
Answer:",No,No|||Yes,amazon,28786.0
"What would be the ★-rating of this review (★ being the lowest and ★★★★★ being the highest)? ""Morphine pain kill A blessing to me""",★★★★★,★|||★★|||★★★|||★★★★|||★★★★★,app_reviews,37254.0
"Answer the question below:


Sinclair is looking at the effects that factories are having on developing countries natural resources. He studies one country that is building fewer factories. In that country, the natural resources are likely experiencing less or more demands because fewer factories are being built? 


Assuming that:

Developing nations will also increase demands on natural resources as they build more factories.",less,less|||more,quartz,2161.0
"To stop a mosquito bite from itching, gently heat up a coin with a lighter and then press it into the bite mark.
Does this phrase make sense?",Yes,No|||Yes,piqa,5894.0
"Given the below context:

Travis Bickle, a 26-year-old honorably discharged U.S. Marine, is a lonely, depressed young man living in isolation in New York City. He takes a job as a taxi driver to cope with his chronic insomnia, driving passengers every night around the city's boroughs. He also frequents the porn theaters on 42nd Street and keeps a diary in which he consciously attempts to include aphorisms, such as ""You're only as healthy as you feel.""
Travis becomes infatuated with Betsy, a campaign volunteer for Senator and presidential candidate Charles Palantine. After watching her interact with fellow worker Tom through her window, Travis enters to volunteer, as a pretext to talk to her, and takes her out for coffee. On a later date, he naively takes her to see a pornographic film, which offends her, and she goes home alone. His attempts at reconciliation by sending flowers are rebuffed, so he berates her at the campaign office, before being kicked out by Tom.
Travis is disgusted by the sleaze, dysfunction, and prostitution that he witnesses throughout the city. His worldview is furthered when an adolescent prostitute and runaway, Iris, enters his taxi, attempting to escape her pimp, Sport. Sport drags Iris from the taxi and throws Travis a crumpled $20 bill, which continually reminds Travis of her and the corruption that surrounds him. A similarly influential event occurs when an unhinged passenger gloats to Travis of his intentions to murder his wife and her lover. Travis confides in fellow taxi driver Wizard about his thoughts, which are beginning to turn violent; however, Wizard assures him that he will be fine, leaving Travis to his own destructive path.

Guess a valid title for it!",Taxi Driver,,quoref,11408.0
"Give me a possible correct answer to the question ""what state did romney governor?""",Massachusetts,,webquestions,2283.0
"Q: What is the most common cause of lung cancer?


A:",tobacco smoke exposure,coal smoke exposure|||restaurant smoke exposure|||tree smoke exposure|||tobacco smoke exposure,sciq,1668.0
"Ignoring the order of the concepts: banana, cup, measure; 
Generate a sentence with all the concepts :",Some bananas are next to a measuring cup.,,common_gen,25141.0
"Is the following question asking about Description, Entity, Abbreviation, Person, Quantity, Location?

What are the most common causes of death in the U.S. ?",Abbreviation,Description|||Entity|||Abbreviation|||Person|||Quantity|||Location,trec,3534.0
Make a title for this article: the united states on tuesday welcomed the release of myanmar 's longest serving political prisoner but said it would press for the freedom of all jailed dissidents .,us welcomes release of political prisoner in myanmar,,gigaword,3531.0
"Person A says something, Person B responds, and then Person A says something. Here's their conversation: 

""for what turn up for down its good that u r happy""

Given the context and the last message, how would you best describe Person A's emotion - happy, sad, angry, or something else?",something else,something else|||happy|||sad|||angry,emo,20869.0
"A person is in the forest, lost. They need to signal to others that they are there, and their voice is gone, so they need to do it inaudibly. The person may signal with
- fire
- rain
- leaves
- ducks",fire,fire|||rain|||leaves|||ducks,openbookqa,1457.0
"First sentence of the article: the un human rights commission on friday adopted a resolution put forward by the UNK union calling on israel to reverse its settlements policy in occupied palestinian territory .

Title:",un rights commission calls for end to israeli settlements,,gigaword,35453.0
"I'm taking a test and have to guess the right answer to the question after the article.
Article: A new study, led by scientists at the American Museum of Natural History, shows that living sharks are actually quite advanced in evolutionary terms, despite having retained their basic ""sharkiness"" over millions of years. The research is published today in the journal Nature.
""Sharks are traditionally thought to be one of the most primitive surviving jawed vertebrates . And most textbooks in schools today say that the internal jaw structures of modern sharks should look very similar to those in primitive shark-like fishes,"" said Alan Pradel, a postdoctoral researcher at the Museum and the lead author of the study. ""But we've found _ is not the case. ""
The new study is based on an extremely well-preserved shark fossil collected by Ohio University professors Royal Mapes and Gene Mapes in Arkansas, where an ocean basin once was home to a diverse marine ecosystem. The fossilized skull of the new species, named Ozarcus mapesae. The heads of all fishes -- sharks included -- are segmented into the jaws and a series of arches that support the jaw and the gills . These arches are thought to have given rise to jaws early in the tree of life.
Because shark skeletons are made of cartilage , not bone, their fossils are very fragile and are usually found in flattened parts, making it impossible to study the shape of these internal structures. But the Ozarcus mapesae specimen was preserved in a nearly three-dimensional state, giving researchers a rare glimpse at the organization of the arches in a prehistoric animal.
""This beautiful fossil offers one of the first complete looks at all of the gill arches and associated structures in an early shark. There are other shark fossils like this in existence, but this is the oldest one in which you can see everything,"" said John Maisey, a curator in the Museum's Division of Paleontology and one of the authors on the study. ""There's enough depth in this fossil to allow us to scan it and digitally dissect out the cartilage skeleton.""
Working with scientists at the European...
Question: It is hard to study the internal jaw structures of ancient sharks because  _  .
Options: A: there are only a few shark fossils
B: shark skeletons are made of bones
C: their fossils are often in poor condition
D: their fossils are found in a nearly three-dimensional state",C,A|||B|||C|||D,race,41519.0
"TEHRAN, Iran (CNN) -- Defying many predictions, Iranian President Mahmoud Ahmadinejad held a commanding lead in the presidential vote count early Saturday, election officials with Iran's Interior Ministry said. Men choose their candidates before voting Friday at a mosque in Tehran, Iran. With 72 percent of ballot boxes counted, Ahmedinejad had 65.7 percent of the vote while his chief rival Mir Hossein Moussavi had 31.4 percent, election officials said. Moussavi, widely regarded as a reformist, had been expected to do well as his campaign caught fire in recent days, triggering massive street rallies in Tehran. An ""unprecedented"" voter turnout at the polls Friday was also expected to boost Moussavi's chances of winning the presidency.
@highlight
Officials: 72 percent of votes in, incumbent president has 65.7 percent
@highlight
Large turnout was expected to benefit Ahmadinejad's main rival, Moussavi
@highlight
Moussavi camp accuses Iranian establishment of manipulating the vote
@highlight
None of candidates expected to change Iran's position on its nuclear program 
@placeholder still has staunch support in Iran's rural areas, but has been blamed for much of Iran's economic turmoil over the last four years. 
What could the ""@placeholder"" be? Mahmoud Ahmadinejad, CNN, Tehran, Iranian, Interior Ministry, Ahmadinejad, Ahmedinejad, Iran, TEHRAN, Moussavi, Mir Hossein Moussavi?",Ahmadinejad,Mahmoud Ahmadinejad|||CNN|||Tehran|||Iranian|||Interior Ministry|||Ahmadinejad|||Ahmedinejad|||Iran|||TEHRAN|||Moussavi|||Mir Hossein Moussavi,record,4071.0
"The exercise is to decide whether the question accepts the proposed suggestion as a correct answer. If yes, write ""True"", otherwise write ""False"".
Question: what do do the colors on the flag of palma de mallorca mean?
Suggestion: The Marivent Palace was offered by the city to the then Prince Juan Carlos I of Spain .",False,False|||True,wiki_qa,6942.0
Title: russian nationalist mp targeted in parliament bomb blast,"a bomb exploded tuesday in an office of the russian parliament in an assassination attempt against a member of the ultra-nationalist liberal democratic party , causing damage but no casualties , moscow echo radio reported .",,gigaword,21040.0
"Generate a question about the following movie plot: This article's plot summary may be too long or excessively detailed. Please help improve it by removing unnecessary details and making it more concise. (August 2016) (Learn how and when to remove this template message)
Detective Superintendent (Commissaire Principal) Pierre Niemans (Jean Reno), an investigator well known in Paris, is sent to the small rural university town of Guernon in the French Alps to investigate a brutal murder. The victim's body is found bound in the fetal position and suspended high on a cliff face, his eyes removed and his hands cut off. Niemans learns that the victim was a professor and the University's librarian, Remy Callois, and he seeks out a local ophthalmologist for an explanation to the removal of the eyes. Dr. Cherneze, once on the University staff, explains that the school's isolation led to in-breeding amongst the professors, with increasingly serious genetic disorders. Recently the trend has reversed, with the local village children becoming ill and the college babies remaining healthy. Cherneze hints that the killer is leaving Niemans clues to their motive by removing the body parts that are unique to each individual - the eyes and hands. Niemans questions the Dean and examines the librarian's apartment, where he finds images of athletic ""supermen"" juxtaposed with texts on genetic deformities. The Dean's assistant (and son) Hubert translates the title of Callois' Ph.D. thesis as, ""We are the masters. We are the slaves. We are everywhere. We are nowhere. We control the crimson rivers.""
Coincidentally Detective Inspector (Lieutenant de Police) [6] Max Kerkerian (Vincent Cassel) is in the nearby town of Sarzac investigating the desecration of the grave of Judith Herault, a girl who died in 1982, and the theft of her photos from the local primary school. The girl was killed in a horrific highway accident, witnessed by her mother, who was so traumatized she took a vow of darkness in a nunnery. The mother tells Kerkerian that when Judith was ten she fell ill, and they went to...",What is the name of the town?,,duorc,9287.0
"Electricity sent through a conductor

Choose an answer from this list:
- halts the functioning of the conductor
- moves like traffic through a green light
- causes fire to flow through the conductor
- flows heat back to the conductor",moves like traffic through a green light,halts the functioning of the conductor|||moves like traffic through a green light|||causes fire to flow through the conductor|||flows heat back to the conductor,openbookqa,106.0
"Extract key points from the article based on which the stock market could react:

(CNN) -- To the litany of challenges that confront India's path to a better life, we can now add subdued economic growth as a result of the global financial crisis. A banana vendor stands on a flooded street as he waits for customers in Amritsar, India, on August 13. After three spectacular years of 9 percent-plus annual growth, India will reach just 6.3 percent next year, according to the latest forecast by the International Monetary Fund in early November. The Reserve Bank of India is forecasting a more optimistic 7.5 to 8 percent. While 7.5 percent may still sound a good result, it is barely enough for the economy to keep pace with the 10 million-plus young people who will join the Indian job market in 2009. India's major shortcomings in infrastructure, education, health care and environmental protection are well known, as are the constant problems of corruption, poor governance, rural poverty, communalism, domestic terrorism, child labor, discrimination against women and natural disasters such as floods and earthquakes. But at least in recent years India could point to a strong economy as the platform on which it was making its push for higher living standards, social modernization and economic reform. Since May 2004, when Prime Minister Manmohan Singh and Finance Minister P. Chidambaram took on the reins of government, India's economy has had a charmed run. Strong growth in business sectors such asinformation technology, pharmaceuticals, automotive, financial services and retail have coincided with a better performing agricultural sector, and a housing and consumption boom driven by easier credit. India's young working men and women -- more than half the country's 1.15 billion people are aged 25 or less -- have shown a much greater propensity to spend, compared to their thrifty, risk-averse parents and grandparents. This willingness to go into debt rather than save has seen a massive rise in sales of consumer goods such as mobile phones, flat screen TVs, refrigerators, household utensils, motorcycles and...","India's economic growth will slow in 2009, most economists project .
Nation's young population has shown willingness to go into accrue debt to spend .
Infrastructure, corruption, health and education worries remain economic hurdles .
India faces political, social risk in 2009, according to Hong Kong-based group .",,cnn_daily_mail,4639.0
"I run a group to stop comedian exploitation and I just spent the past 2 months hearing horror stories from comedians who attempted to audition for, ""Last Comic Standing."" If they don't have a GOOD agent, then they don't even get a chance to audition so more than 80% of the comedians who turn up are rejected before they can show anyone that they have talent! If they do make it to an audition, I was told that it's ""pre-determined"" if they get a second chance. So what the TV audience sees is NOT the best comics in the US.<br /><br />If the comics do make it to the show, then most of them don't get IMDb credits. I know this because I did the credits for all 6 seasons of, ""Last Comic Standing"" and I don't get paid for doing the Producers' job. It's really a disgrace. A month ago, I asked, ""Last Comic Standing 7"" on Facebook why the Producers aren't giving IMDb credits and I was banned from their Facebook Page!!! I am not a comedian so I do not have a personal stake in this. I just want people to know the truth. I don't like seeing ANYONE getting exploited and that's why I've been helping the comedians. Comedians get exploited on HBO, BET, TvOne and other cable networks but NBC is a BIG THREE network so those in charge should be ashamed of themselves for allowing this exploitation to happen.<br /><br />Please watch this video of a comedian who was victimized: http://www.youtube.com/watch?v=RMb4-hyet_Y 
Is this review positive or negative?",negative,negative|||positive,imdb,3489.0
"Condense the article down to the essentials to present it in the form of short cards in mobile news apps:

(CNN) -- For three years, the thieves crept into some of the poshest homes in the most exclusive enclaves in the nation. The gated community of Bel Air was one  of several enclaves targeted by the so-called ""Hillside Burglars."" Police said they finally have a break in the case, and wealthy residents of Los Angeles, California, are breathing a sigh of relief. ""These guys were real good,"" said L.A. City Councilman Jack Weiss, who oversees Bel Air where some of the burglaries were committed. ""They were professionals."" The thieves hauled away more than $10 million worth of valuables and cash from 150 homes in upscale neighborhoods such as Bel Air, Pacific Palisades and Beverly Hills, police said. Homes of Hollywood celebrities, professional athletes and multimillionaires were hit. According to CNN affiliate KABC, country music stars Faith Hill and Tim McGraw and former Paramount Pictures CEO Sherry Lansing were among the victims. DNA evidence led the LAPD to suspected ringleader Troy Corsby Thomas, 45, of Los Angeles. He was arrested near L.A. International Airport last weekend. Police say Thomas led a gang dubbed the ""Hillside Burglars"" that targeted the neighborhoods overlooking Sunset Boulevard. ""It's a very euphoric, satisfying feeling that we got this person,"" said the police Lt. David McGill. ""It's a very frustrating feeling to tell the victims, 'I'm sorry I don't have any news for you.' Finally when we got some good detective work and breaks, things started lining up."" Police are looking for more suspects linked to the three-year spree but are not naming them. Thomas is being held on $2 million bail, according to the L.A. County District Attorney's Office. He is likely to stay in custody because he must reveal the origin of any funds used to pay the bail, authorities said. At a court appearance Tuesday, Thomas pleaded not guilty to two charges of residential burglary, one in January 2006 and another in March 2008. The preliminary court date for Thomas will be set on January 29 and additional charges are...","Wealthy Bel Air, Beverly Hills residents feel cautious relief .
Police say Troy Thomas led gang that stole $10M from 150 upscale homes .
Thomas in custody, pleads not guilty to felony burglary .",,cnn_daily_mail,4290.0
"Summarize: Anna: hey do you know anyone who works in the gaming industry?
Alex: I might know someone
Alex: but you know where I work
Anna: yeah I know
Alex: if you were asking about the food industry, restaurants then I'm your man
Anna: yeah but maybe you know someone
Alex: I think I can hit one guy up 
Alex: and I might be able to help you out
Anna: I would be really greateful
Alex: But why are you asking?
Anna: I really need a change
Anna: so I thought about changing jobs
Alex: so the gaming industry
Alex: interesting you've always been an avid gamer
Anna: yeah exactly I love it
Anna: and I have to do something I love 
Alex: yeah that's the definition of happiness
Anna: yeah cuz I can't stand my job anymore
Alex: I'll ask around and get back to you",Anna needs someone who works in the gaming industry and Alex may know someone. She needs to change her job and is thinking of the gaming industry as she's always been an avid gamer and loves it.,,samsum,10290.0
"Casey became an expert witness for Aubrey during the major court case against the state.

Given the context: What will happen to Casey?

Possible answers: hear testimony in court, receive praise from Aubrey, go to court",go to court,hear testimony in court|||receive praise from Aubrey|||go to court,social_iqa,12296.0
"Eating and digesting a large meal is guaranteed to produce

Choose an answer from this list:
- disease
- fecal matter
- fuel
- fertilizer",fecal matter,disease|||fecal matter|||fuel|||fertilizer,openbookqa,100.0
"the samba beat of brazil , known for their unmatched football artistry , will energise the world cup finals once again should they beat chile on sunday to earn their ticket for germany next year .

TL;DR:",champions brazil on verge of world cup finals,,gigaword,43423.0
"You couldnt survive without your skin. It has many important functions. The main function of the skin is controlling what enters and leaves the body. It prevents the loss of too much water from the body. It also prevents bacteria and other microorganisms from entering the body. The skin helps maintain a constant body temperature. It keeps the body cool in two ways. Sweat from sweat glands in the skin evaporates to cool the body. Blood vessels in the skin dilate, or widen. This action increases blood flow to the body surface. This allows more heat to reach the surface. The heat is then able to radiate off the body. The opposite happens to retain body heat. Blood vessels in the skin constrict, or narrow. This decreases blood flow to the body surface. This reduces the amount of heat that reaches the surface. When this happens, less heat can be lost to the air. 

Question: Does the skin have any control over body temperature and if so in how many ways does it?
I found this answer ""Yes it controls body temperature by sweat and sweat gland to cool the body"". Is that correct? Yes or no?",Yes,No|||Yes,multirc,15206.0
"Given a goal and 2 solutions, choose the most appropriate solution.
Goal: How can you determine the quality of your soil for gardening purposes?
- Solution 1: You can buy a soil testing kit to find out the amount of organic matter, the amount of nutrients, and the pH level of the soil. Use the results to determine how much fertilizer and other ingredients to add.
- Solution 2: You can buy a soil testing kit to find out the amount of organic matter, the amount of nutrients, and the pH level of the soil. Use the results to determine how much pest killer and other ingredients to remove.

Answer by returning either Solution 1 or Solution 2",Solution 1,Solution 1|||Solution 2,piqa,10984.0
"I'm taking a test and have to guess the right answer to the question after the article.
Article: New findings suggest that brainy card games such as contract bridge   may temporarily raise production of a key blood cell including in fighting off illness. After 90 minutes of play, bridge players had increased level of immune  cell, according to research reported last week. 
A researcher, Diamond, studies bridge players from a woman's bridge club. She chose bridge players because the game includes skills stimulating  a part of the brain called the dorsolateral cortex. Earlier animal research suggests that this part of the brain may play a role in the immune system.
The findings are based on blood samples drawn from 12 women players. Their blood samples showed a rise in levels of white blood cells called T cells after they played bridge for 90 minutes. T cells are produced by the thymus gland  and used by the immune system against diseases.
The T cells count jumped significantly in eight of the bridge players, and slightly in the other four. 
The findings contribute to the field of neuroimmunology , whose name reflects the fact that the nervous system and the immune system are not considered separate and isolated systems. What isn't clear is whether the help to the immune system from an activity like contract bridge is lasting or temporary. It's also not clear whether the increase in T cells could finally be targeted against special illness.
Question: A T cell is   _  .
Options: A: a brain cell
B: a white blood cell
C: a red blood cell
D: a kind of dangerous blood",B,A|||B|||C|||D,race,47829.0
"Read the article and select the best answer.
Article: Money and Happiness
A Guide to Living the Good Life
Author: Laura Rowley
Publisher: Wiley (March 1, 2016)
Laura Rowley helps us all understand the money-happiness connection in our own lives so that we spend our time and efforts wisely. She offers insights that every reader can use to make smarter decisions that will lead to living a rich life in every possible definition of the term.
Happiness
The Science Behind Your Smile
Author: Daniel Nettle
Publisher: Oxford University Press (July 1, 2016)
This is the first book to look thoroughly at what happiness is and how it works. Nettle examines whether people are basically happy or unhappy, whether success can make us happy, why some people are happier than others, and much more.
The Happiness Makeover
How to Teach Yourself to Be Happy and Enjoy Every Day
Author: M. J. Ryan
Publisher: Broadway (May 10, 2016)
Ryan's own desire to be happier first led her to study what is known about happiness from brain science, psychology, and the wisdom traditions of the world.The Happiness Makeover draws on this wide-ranging knowledge and presents a plan that will help you:
Clear away happiness problems like worry, fear, envy, and dislikes.
Learn to think confidently.
Find daily ways to truly enjoy, even relish, the moments of your life.
Health and Happiness
Hormones and Qualities Llives
Author: Steven F. Hotze
Publisher: Forrest Publishing (April, 2016)
Dr Steven Hotze is leading a wellness revolution that advances a new model of healthcare. Unlike the popular medical way of treating individual symptoms  with the familiar ""anti"" drugs, Dr Hotze deals with the basic causes of poor health.
In Hormones, Health, and Happiness you are shown how to reach and keep the best body functioning.
Based on a process of biologically the same hormones  and other natural treatments, it can help you enjoy a better quality of life.
Question: According to the passage, which of the following books was the first to come out?
Options: A: A Guide to Living the Good Life
B: Hormones and Qualities Llives
C: How to Teach Yourself to Be Happy and Enjoy Every Day
D: The Science Behind Your Smile",A,A|||B|||C|||D,race,35159.0
"JaganNath Institute of Management Sciences -  JaganNath Institute of Management Sciences (JIMS) is located in Sector 3 Rohini Delhi. Given a choice of categories company, educational institution, artist, athlete, office holder, mean of transportation, building, natural place, village, animal, plant, album, film or written work, the text refers to which one?",Educational Institution,Company|||Educational Institution|||Artist|||Athlete|||Office Holder|||Mean Of Transportation|||Building|||Natural Place|||Village|||Animal|||Plant|||Album|||Film|||Written Work,dbpedia,46929.0
"Sentence 1: Like many aspects of Byzantine ivory , this reflects the Islamic traditions inherited from Islam .
Sentence 2: Like many aspects of Islamic ivory , this reflects the Byzantine traditions that Islam has inherited .
Question: Do Sentence 1 and Sentence 2 express the same meaning? Yes or No?",No,No|||Yes,paws,17436.0
"Read the following conversation and answer the question.

M: Hey, Karen, you are not really reading it, are you?

W: Pardon?

M: The book! You haven't turned the page in the last ten minutes.

W: No, Jim, I suppose I haven't. I need to get through it, though, but I keep drifting away.

M: So it doesn't really hold your interest?

W: No, not really. I wouldn't bother with it, to be honest, but I have to read it for a seminar. I'm at a university.

M: It's a labor of labor then rather than a labor of love.

W: I should say, I don't like Dickens at all really, the author, indeed, I am starting to like the whole course less and less.

M: It's not just the book, it's the curse as well?

W: Yeah, in a way, although the curse itself isn't really that bad, a lot of it is pretty good, in fact, and the lecturer is fine, as to me, I suppose, you see, I want to do philosophy rather than English, but my parents took me out of it.

M: So the courses are OK as such, it's just that had if been left to you, you would choose a different one.

W: Oh, they had my best interest and heart of course, my parents, they always do, don't they? They believe that my job prospect would be pretty limited with the degree of philosophy. Plus, they give me a really generous allowance, but I am beginning to feel that I'm wasting my time and their money. They would be so disappointed though if I told them I was quitting.

Question: Why can't Karen concentrate on the book? 

- She lacks interest in it.

- The man keeps interrupting her.

- She finds it too hard.",She lacks interest in it.,She lacks interest in it.|||The man keeps interrupting her.|||She finds it too hard.,dream,5304.0
"Answer the following question given this paragraph: 

For decades scientists have had equipment that can measure earthquake magnitude. The earthquake magnitude is the energy released during the quake.


Q: What term is used describe energy released during an earthquake?


A:",magnitude,blast|||seismic load|||resonance|||magnitude,sciq,919.0
"Passage: The Buffalo Bills began their season at home with an AFC East duel with the Miami Dolphins. In the 1st quarter, Buffalo trailed early when Dolphins kicker Dan Carpenter nailed a 32-yard field goal. The deficit was increased in the 2nd quarter when running back Ronnie Brown got a 1-yard TD run. The Bills eventually replied when kicker Rian Lindell made a 51-yard field goal. In the 4th quarter, Miami increased their lead with Carpenter hitting a 43-yard field goal. Buffalo replied with a touchdown pass from quarterback Trent Edwards making a 31-yard touchdown pass to wide receiver Roscoe Parrish. The final score was made when long snapper Garrison Sanborn snapped the ball to Brian Moorman out of bounds for a safety, giving the Dolphins 2 more points and the Bills a loss.
Question: How many points did the Dolphins get first quarter?
Answer:",3,,drop,33938.0
"Given this review: ""Amazing I love this game I've explored almost every map that's out except for the ones with the blue ghosts getting to that when I'm a little better but great game""
Would you recommend this app to a friend? Not at all, No, Maybe, Yes, or Definitely?",Definitely,Not at all|||No|||Maybe|||Yes|||Definitely,app_reviews,3321.0
"Ella was excellent, Franchot was unavoidably over-the-top (But he played similar parts in other films such as ""The Man on the Eiffel Tower"") and Alan was nearly non-existent but the film certainly ""thrilled"".<br /><br />*mild spoiler ahead*: I wonder how many times Elisha Cook got strangled in his films but I seem to recall various other examples. I will avoid naming the murderer but I think it's necessarily obvious because of the plot ""thriller"" demands.<br /><br />A very well-done but dated film noire (for example: everyone smoked like crazy and the police were really stock characters. And no dead bodies were ever shown, unlike today's gore fests.) done in the familiar short-scene tableaux format of the period.<br /><br />8 out of 10. What is the sentiment expressed in this text?",positive,negative|||positive,imdb,16023.0
"Article: Dear Mom and Dad,
I'm afraid I have some very bad news for you. I have been very naughty and the school master is very angry with me. She is going to write to you. You must come and take me away from here. She does not want me in the school any longer. The trouble started last night when I was smoking a cigarette in bed. As I was smoking, I heard footsteps coming towards the room .I did not want a teacher to catch me smoking, so I threw the cigarette away. Unfortunately, the cigarette fell into the waste--paper basket. It caught fire.
There was a curtain near the waste --paper basket. It caught fire too. Soon the whole room was burning. The master phoned the fire brigade . The school is a long way from the town and before the fire brigade arrived, the whole school was on fire. The master said that the fire was all my fault and I must pay for the damage. She will send you a bill for about a million dollars.
I'm very sorry for this.
Much love
Sarah
Question: When did the trouble start?
Yes or no, is the answer ""last night""?",Yes,Yes|||No,race,15420.0
"Queen (chess) -- The queen (♕,♛) is the most powerful piece in the game of chess, able to move any number of squares vertically, horizontally or diagonally. Each player starts the game with one queen, placed in the middle of the first rank next to the king. Because the queen is the strongest piece, a pawn is promoted to a queen in the vast majority of cases. 

Having read that, I wonder can the queen in chess move like a horse?",No,No|||Yes,boolq,4902.0
